geo,time,labor_cost
cze,1995,6.51
cze,1996,7.09
cze,1997,7.24
cze,1998,7.36
cze,1999,7.9
cze,2000,8.5
cze,2001,10.02
cze,2002,10.33
cze,2003,11.32
cze,2004,11.92
cze,2005,12.66
cze,2006,12.99
cze,2007,14.16
cze,2009,15.19
cze,2010,15.42
cze,2011,15.94
cze,2012,17.13
cze,2016,19.97
cze,2017,21.54
cze,2018,23.24
cze,2019,24.52
cze,2020,25.49
deu,1996,23.7
deu,1997,24.26
deu,1998,24.61
deu,1999,25.56
deu,2000,26.63
deu,2001,27.46
deu,2002,28.24
deu,2003,28.86
deu,2004,29.59
deu,2005,29.74
deu,2006,30.51
deu,2007,30.96
deu,2009,33.34
deu,2010,33.93
deu,2011,35.88
deu,2012,36.71
deu,2016,40.65
deu,2017,42.29
deu,2018,44.27
deu,2019,45.09
deu,2020,46.18
